LocalCol;TimeCol;PLC1_AI_FT_PORT_IST;PLC1_AI_POS_GETTO1;PLC1_AI_PT_LINEA;PLC1_AI_POT_ATTIVA;PLC1_AI_LT_BACINO;PLC1_AI_LT_BACINO2;FREE6;FREE7;FREE8;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA DI LINEA [EW166];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];LIVELLO CA PREVITALI [PlcCaPrevitali];;;;;;;;;;;;;;;
12/01/2023 07:11:00;12/01/2023 06:11:00;14,2854;13,6994;32,3351;27,8208;20,7892;21,8133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:12:00;12/01/2023 06:12:00;8,3469;7,08221;33,0671;0;26,2425;21,816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:13:00;12/01/2023 06:13:00;2,48191;1,01084;33,0454;0;35,028;21,8593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:14:00;12/01/2023 06:14:00;1,11274;0,2;33,1713;0;40,3188;21,8593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:15:00;12/01/2023 06:15:00;0,96969;0,2;33,1453;0;43,4423;21,9054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:16:00;12/01/2023 06:16:00;0,924733;0,2;33,1496;0;43,5371;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:17:00;12/01/2023 06:17:00;0,945168;0,2;33,1597;0;43,6373;21,9934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:18:00;12/01/2023 06:18:00;0,924733;0,2;33,1264;0;43,5344;21,9975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:19:00;12/01/2023 06:19:00;0,838903;0,2;33,1698;0;43,6265;22,0259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:20:00;12/01/2023 06:20:00;0,904297;2,76303;33,1395;0;43,6265;22,0435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:21:00;12/01/2023 06:21:00;2,21217;7,08221;32,9789;0;43,8107;22,0909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:22:00;12/01/2023 06:22:00;4,27206;7,62409;33,0078;0;43,3285;22,0909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:23:00;12/01/2023 06:23:00;5,16713;9,90234;32,6259;9,8112;43,6265;22,137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:24:00;12/01/2023 06:24:00;16,5129;20,5816;31,833;54,0108;41,3157;22,1356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:25:00;12/01/2023 06:25:00;23,5591;23,2831;31,7636;63,1128;38,0784;22,0909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:26:00;12/01/2023 06:26:00;25,0222;22,4723;31,8432;61,176;34,5647;22,0909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:27:00;12/01/2023 06:27:00;23,2239;19,7629;32,1687;52,0596;32,7714;22,0435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:28:00;12/01/2023 06:28:00;18,0129;14,1029;32,4826;30,5016;30,3115;22,0435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:29:00;12/01/2023 06:29:00;14,8576;14,1029;32,4161;30,372;33,1777;22,0435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:30:00;12/01/2023 06:30:00;14,5593;14,1029;32,4219;30,3732;33,3619;22,0435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:31:00;12/01/2023 06:31:00;14,5061;14,1029;32,4002;30,4212;33,1777;22,0476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
