LocalCol;TimeCol;PLC1_AI_FT_PORT_IST;PLC1_AI_POS_GETTO1;PLC1_AI_PT_TURBINA;PLC1_AI_POT_ATTIVA;PLC1_AI_POS_GETTO2;PLC1_AI_LT_BACINO;FREE6;FREE7;FREE8;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA TURBINA [EW164];G1 : Potenza attiva prodotta Turbina [STRUMENTO];POSIZIONE GETTO 2 [EW66];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];;;;;;;;;;;;;;;
01/08/2023 15:45;01/08/2023 13:45;29,2851;26,9299;30,8261;75,5196;0;40,9662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 16:00;01/08/2023 14:00;23,8288;21,9343;30,7769;59,484;0;40,5761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 16:15;01/08/2023 14:15;14,8372;15,1827;31,1646;34,176;0;41,0367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 16:30;01/08/2023 14:30;22,3452;21,527;30,9534;57,258;0;41,1288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 16:45;01/08/2023 14:45;17,829;17,3422;30,8333;42,3612;0;40,7251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 17:00;01/08/2023 15:00;19,6068;19,0984;30,7841;48,6624;0;40,3892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 17:15;01/08/2023 15:15;23,792;22,6067;30,6163;59,8416;0;40,1129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 17:30;01/08/2023 15:30;21,0659;19,9092;30,842;52,266;0;40,186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 17:45;01/08/2023 15:45;25,5413;23,9595;30,6568;65,4696;0;39,8366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 18:00;01/08/2023 16:00;28,1693;26,119;30,5802;72,39;0;40,2971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
