"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"CosPhi_FTP";"22/02/2022 14:17:16";0;1;44614595323,4954
"Portata_FTP";"22/02/2022 14:32:16";0;1;44614605741,0532
"Potenza_FTP";"22/02/2022 14:32:16";0;1;44614605741,0532
"Pressione_FTP";"22/02/2022 14:32:16";0;1;44614605741,0532
"CosPhi_FTP";"22/02/2022 14:32:16";0;1;44614605741,0532
"Portata_FTP";"22/02/2022 14:47:16";0;1;44614616156,7477
"Potenza_FTP";"22/02/2022 14:47:16";0;1;44614616156,7477
"Pressione_FTP";"22/02/2022 14:47:16";0;1;44614616156,7477
"CosPhi_FTP";"22/02/2022 14:47:16";0;1;44614616156,7477
"Portata_FTP";"22/02/2022 15:02:16";0;1;44614626573,6574
"Potenza_FTP";"22/02/2022 15:02:16";0;1;44614626573,6574
"Pressione_FTP";"22/02/2022 15:02:16";0;1;44614626573,6574
"CosPhi_FTP";"22/02/2022 15:02:16";0;1;44614626573,6574
"Portata_FTP";"22/02/2022 15:17:16";0;1;44614636990,3588
"Potenza_FTP";"22/02/2022 15:17:16";0;1;44614636990,3588
"Pressione_FTP";"22/02/2022 15:17:16";0;1;44614636990,3588
"CosPhi_FTP";"22/02/2022 15:17:16";0;1;44614636990,3588
"Portata_FTP";"22/02/2022 15:32:16";0;1;44614647407,3495
"Potenza_FTP";"22/02/2022 15:32:16";0;1;44614647407,3495
"Pressione_FTP";"22/02/2022 15:32:16";0;1;44614647407,3495
"CosPhi_FTP";"22/02/2022 15:32:16";0;1;44614647407,3495
"Portata_FTP";"22/02/2022 15:47:16";0;1;44614657824,1898
"Potenza_FTP";"22/02/2022 15:47:16";0;1;44614657824,1898
"Pressione_FTP";"22/02/2022 15:47:16";0;1;44614657824,1898
"CosPhi_FTP";"22/02/2022 15:47:16";0;1;44614657824,1898
"Portata_FTP";"22/02/2022 16:02:16";0;1;44614668240,463
"Potenza_FTP";"22/02/2022 16:02:16";0;1;44614668240,463
"Pressione_FTP";"22/02/2022 16:02:16";0;1;44614668240,463
"CosPhi_FTP";"22/02/2022 16:02:16";0;1;44614668240,463
"Portata_FTP";"22/02/2022 16:17:16";0;1;44614678657,6968
"Potenza_FTP";"22/02/2022 16:17:16";0;1;44614678657,6968
"Pressione_FTP";"22/02/2022 16:17:16";0;1;44614678657,6968
"CosPhi_FTP";"22/02/2022 16:17:16";0;1;44614678657,6968
"Portata_FTP";"22/02/2022 16:32:16";0;1;44614689074,2245
"Potenza_FTP";"22/02/2022 16:32:16";0;1;44614689074,2245
"Pressione_FTP";"22/02/2022 16:32:16";0;1;44614689074,2245
"CosPhi_FTP";"22/02/2022 16:32:16";0;1;44614689074,2245
"Portata_FTP";"23/02/2022 09:18:38";0;1;44615387939,3981
"Potenza_FTP";"23/02/2022 09:18:38";0;1;44615387939,3981
"Pressione_FTP";"23/02/2022 09:18:38";0;1;44615387939,3981
"CosPhi_FTP";"23/02/2022 09:18:38";0;1;44615387939,3981
"Portata_FTP";"23/02/2022 09:33:38";0;1;44615398355,7523
"Potenza_FTP";"23/02/2022 09:33:38";0;1;44615398355,7523
"Pressione_FTP";"23/02/2022 09:33:38";0;1;44615398355,7523
"CosPhi_FTP";"23/02/2022 09:33:38";0;1;44615398355,7523
"Portata_FTP";"23/02/2022 09:48:38";0;1;44615408773,0324
"Potenza_FTP";"23/02/2022 09:48:38";0;1;44615408773,0324
"Pressione_FTP";"23/02/2022 09:48:38";0;1;44615408773,0324
"CosPhi_FTP";"23/02/2022 09:48:38";0;1;44615408773,0324
"$RT_OFF$";"23/02/2022 09:59:17";0;2;44615416167,8819
"Portata_FTP";"23/02/2022 10:14:21";0;1;44615426635,3009
"Potenza_FTP";"23/02/2022 10:14:21";0;1;44615426635,3009
