,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione
46,2023-10-25 23:47:31,27.38647,50.597,272.363274366,64.01954576042674,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.14665188805165,-12.845244791666667,-15,-2.6975014062500002
47,2023-10-26 00:02:31,27.37057,51.194,272.140767098,63.93010695388507,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.0603996390464,-12.845244791666667,-15,-2.6975014062500002
48,2023-10-26 00:17:31,27.35241,50.8735,272.45596873200003,63.96168684684485,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.58741209584814,-12.845244791666667,-15,-2.6975014062500002
49,2023-10-26 00:32:31,27.38647,50.772,272.437511438,64.03699533632528,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.36690254068172,-12.845244791666667,-15,-2.6975014062500002
50,2023-10-26 00:47:31,27.43869,51.324,272.62290017,64.20275895204404,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.94002485458894,-12.845244791666667,-15,-2.6975014062500002
51,2023-10-26 01:02:31,27.44096,51.2675,272.752611098,64.23861992175948,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.82403063641098,-12.845244791666667,-15,-2.6975014062500002
52,2023-10-26 01:17:31,27.49546,51.2905,272.845407438,64.38810187119407,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.69318100155132,-12.845244791666667,-15,-2.6975014062500002
53,2023-10-26 01:32:31,27.47729,51.106,272.845407438,64.3455518716305,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.48840412678582,-12.845244791666667,-15,-2.6975014062500002
54,2023-10-26 01:47:31,27.56131,51.27,272.511646536,64.46335553582612,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.58399936607606,-12.845244791666667,-15,-2.6975014062500002
55,2023-10-26 02:02:31,27.55677,50.7115,272.381833634,64.42203436631165,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,68.87014522751326,-12.845244791666667,-15,-2.6975014062500002
56,2023-10-26 02:17:31,27.52952,51.136,272.697035268,64.43280528086206,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.43504005612718,-12.845244791666667,-15,-2.6975014062500002
57,2023-10-26 02:32:31,27.55677,50.9525,272.122309804,64.36065342591604,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.2634356953977,-12.845244791666667,-15,-2.6975014062500002
58,2023-10-26 02:47:31,27.49092,51.3055,272.919542536,64.39496229242792,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.70613585214356,-12.845244791666667,-15,-2.6975014062500002
59,2023-10-26 03:02:31,27.48638,51.2225,272.678476,64.32745785906302,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.6663984482909,-12.845244791666667,-15,-2.6975014062500002
60,2023-10-26 03:17:31,27.49546,51.0045,273.27176073199996,64.48871591335428,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.19643851722029,-12.845244791666667,-15,-2.6975014062500002
61,2023-10-26 03:32:31,27.48638,51.3295,273.160507098,64.44117360076076,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.6887331736511,-12.845244791666667,-15,-2.6975014062500002
