VarName;TimeString;VarValue;Validity;Time_ms
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 20:15;'0';0;44138844066
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/11/2020 20:30;'0';0;44138854483
Analog_IN_DB v1.3_Durchfluss_Wert_g;13/11/2020 09:15;'0';0;44148385768
Analog_IN_DB v1.3_Durchfluss_Wert_g;13/11/2020 09:30;'0';0;44148396185
$RT_OFF$;13/11/2020 09:40;'0';2;44148403310
$RT_OFF$;26/04/2021 10:13;'0';2;44312425882
$RT_OFF$;26/04/2021 09:24;'0';2;44312392150
$RT_OFF$;26/04/2021 12:40;'0';2;44312528082
$RT_OFF$;26/04/2021 12:52;'0';2;44312536710
Analog_IN_DB v1.3_Durchfluss_Wert_g;26/04/2021 13:29;'0';1;44312562001
Analog_IN_DB v1.3_Durchfluss_Wert_g;26/04/2021 13:44;'0';1;44312572418
Analog_IN_DB v1.3_Durchfluss_Wert_g;26/04/2021 13:59;'0';1;44312582834
Analog_IN_DB v1.3_Durchfluss_Wert_g;26/04/2021 14:14;'0';1;44312593251
Analog_IN_DB v1.3_Durchfluss_Wert_g;26/04/2021 14:29;'0';1;44312603667
Analog_IN_DB v1.3_Durchfluss_Wert_g;26/04/2021 14:44;'0';1;44312614083
Analog_IN_DB v1.3_Durchfluss_Wert_g;26/04/2021 14:59;'0';1;44312624500
Analog_IN_DB v1.3_Durchfluss_Wert_g;26/04/2021 15:14;'0';1;44312634917
$RT_OFF$;26/04/2021 15:26;'0';2;44312643549
Analog_IN_DB v1.3_Durchfluss_Wert_g;26/04/2021 15:41;'0';1;44312654147
Analog_IN_DB v1.3_Durchfluss_Wert_g;26/04/2021 15:56;'0';1;44312664564
Analog_IN_DB v1.3_Durchfluss_Wert_g;26/04/2021 16:58;'0';1;44312707199
$RT_OFF$;26/04/2021 17:12;'0';2;44312717051
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 10:48;'0';1;44319450068
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 11:02;'0';1;44319460343
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 11:17;'0';1;44319470760
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 11:32;'0';1;44319481177
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 11:47;'0';1;44319491593
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 12:02;'0';1;44319502009
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 12:17;'0';1;44319512427
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 12:32;'0';1;44319522843
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 12:47;'0';1;44319533259
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 13:02;'0';1;44319543677
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 13:17;'0';1;44319554094
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 13:32;'0';1;44319564510
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 13:47;'0';1;44319574927
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 14:02;'0';1;44319585343
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 14:17;'0';1;44319595759
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 14:32;'0';1;44319606176
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 14:47;'0';1;44319616593
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 15:02;'0';1;44319627010
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 15:17;'0';1;44319637427
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 15:32;'0';1;44319647843
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 15:47;'0';1;44319658260
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 16:02;'0';1;44319668676
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 16:17;'0';1;44319679093
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 16:32;'0';1;44319689509
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 16:47;'0,000000079722';1;44319699927
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 17:02;'0,000000440361';1;44319710343
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 17:17;'0,000000000000898962';1;44319720760
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 17:32;'9,12217E-18';1;44319731176
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 17:47;'0,0000253479';1;44319741593
