,tP,tI,G,P,Target,dt,tIn,tOff,TotalEnergy,TotalEIrr,ITarget,ITargetDay
1910,2023-04-14 06:20:00,2023-04-14 06:20:00,0.7,0.0,0.6777610865625598,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1911,2023-04-14 06:30:00,2023-04-14 06:30:00,1.1,0.0,1.06135336829808,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1912,2023-04-14 06:40:00,2023-04-14 06:40:00,4.7,0.0,4.536454292575921,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1913,2023-04-14 06:50:00,2023-04-14 06:50:00,9.7,4.35,9.378782109702719,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1914,2023-04-14 07:00:00,2023-04-14 07:00:00,23.8,8.7,22.995847231156798,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.0
1915,2023-04-14 07:10:00,2023-04-14 07:10:00,23.8,12.1,23.043876943127042,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,0.42000000000000004
1916,2023-04-14 07:20:00,2023-04-14 07:20:00,31.450000000000003,18.5,30.51430522280712,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,2.02
1917,2023-04-14 07:30:00,2023-04-14 07:30:00,39.1,24.9,38.01560974589664,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,6.0
1918,2023-04-14 07:40:00,2023-04-14 07:40:00,75.8,103.8,73.72327529348495,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,18.32
1919,2023-04-14 07:50:00,2023-04-14 07:50:00,148.2,165.4,142.24555528696655,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,34.66
1920,2023-04-14 08:00:00,2023-04-14 08:00:00,220.6,159.0,208.91714419399818,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,53.760000000000005
1921,2023-04-14 08:10:00,2023-04-14 08:10:00,202.39999999999998,150.7,191.37466550977632,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,79.3
1922,2023-04-14 08:20:00,2023-04-14 08:20:00,184.2,170.9,173.88727973046144,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,111.94000000000001
1923,2023-04-14 08:30:00,2023-04-14 08:30:00,221.4,222.7,208.11098571367106,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,135.48
1924,2023-04-14 08:40:00,2023-04-14 08:40:00,191.2,148.1,180.10952182574206,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,165.9
1925,2023-04-14 08:50:00,2023-04-14 08:50:00,315.1,268.5,294.49115913511014,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,181.72
1926,2023-04-14 09:00:00,2023-04-14 09:00:00,439.0,287.3,407.0391915580847,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,205.73999999999995
1927,2023-04-14 09:10:00,2023-04-14 09:10:00,235.0,180.5,219.94619179104,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,237.56000000000003
1928,2023-04-14 09:20:00,2023-04-14 09:20:00,355.5,240.8,333.2053904761296,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,306.73999999999995
1929,2023-04-14 09:30:00,2023-04-14 09:30:00,224.1,158.2,210.7996732816603,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,378.0
1930,2023-04-14 09:40:00,2023-04-14 09:40:00,163.9,118.9,154.94431260518496,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,428.24000000000007
1931,2023-04-14 09:50:00,2023-04-14 09:50:00,132.6,95.9,125.71137330193727,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,490.2
1932,2023-04-14 10:00:00,2023-04-14 10:00:00,178.8,142.8,171.31540482897987,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,507.52
1933,2023-04-14 10:10:00,2023-04-14 10:10:00,217.6,162.6,207.46659707744254,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,531.0199999999999
1934,2023-04-14 10:20:00,2023-04-14 10:20:00,206.3,107.1,195.92956409896584,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,548.9
1935,2023-04-14 10:30:00,2023-04-14 10:30:00,279.0,168.9,263.94279332335196,17.333333333333332,2023-04-14,2023-04-14 17:20:00,2774.600000000035,3.781016296296296,3.288281079365079,562.1600000000001
