,x__TimeStamp,PLC1_AI_PT_LINEA,PLC1_AI_PT_TURBINA,PLC1_AI_POT_ATTIVA,PLC1_AI_FT_PORT_IST,PLC1_AI_COSPHI,PLC1_AI_LT_STRAMAZZO
10957,19/09/2022 18:15:00,32.5353,31.8825,0.0,0.3699,0.0000,0.0000
10958,19/09/2022 18:30:00,32.5152,31.8653,0.0,0.36,0.0000,0.0000
10959,19/09/2022 18:45:00,32.4762,31.8196,0.0,0.3846,0.0000,0.0000
10960,19/09/2022 19:00:00,32.4421,31.78,0.0,0.3786,0.0000,0.0000
10961,19/09/2022 19:15:00,32.5257,31.8612,0.0,0.373,0.0000,0.0000
10962,19/09/2022 19:30:00,32.5756,31.9125,0.0,0.3664,0.0000,0.0000
10963,19/09/2022 19:45:00,32.654,31.9934,0.0,0.3699,0.0000,0.0000
10964,19/09/2022 20:00:00,32.7688,32.0998,0.0,0.3769,0.0000,0.0000
10965,19/09/2022 20:15:00,32.8138,32.1466,0.0,0.3948,0.0000,0.0000
10966,19/09/2022 20:30:00,32.7659,32.0958,0.0,0.3797,0.0000,0.0000
10967,19/09/2022 20:45:00,32.8872,32.2158,0.0,0.3799,0.0000,0.0000
10968,19/09/2022 21:00:00,32.9909,32.3189,0.0,0.3792,0.0000,0.0000
10969,19/09/2022 21:15:00,33.0442,32.3752,0.0,0.3743,0.0000,0.0000
10970,19/09/2022 21:30:00,33.0916,32.4193,0.0,0.3854,0.0000,0.0000
10971,19/09/2022 21:45:00,33.0519,32.3738,0.0,0.3813,0.0000,0.0000
10972,19/09/2022 22:00:00,33.1537,32.4677,0.0,0.3759,0.0000,0.0000
10973,19/09/2022 22:15:00,33.2093,32.5221,0.0,0.3696,0.0000,0.0000
10974,19/09/2022 22:30:00,33.4405,32.7532,0.0,0.3765,0.0000,0.0000
10975,19/09/2022 22:45:00,33.4346,32.7486,0.0,0.3821,0.0000,0.0000
10976,19/09/2022 23:00:00,33.4523,32.7689,0.0,0.3864,0.0000,0.0000
10977,19/09/2022 23:15:00,33.4808,32.7913,0.0,0.3999,0.0000,0.0000
10978,19/09/2022 23:30:00,33.4669,32.7797,0.0,0.3819,0.0000,0.0000
10979,19/09/2022 23:45:00,33.4658,32.7807,0.0,0.3874,0.0000,0.0000
10980,20/09/2022 00:00:00,33.4287,32.7378,0.0,0.3697,0.0000,0.0000
10981,20/09/2022 00:15:00,33.4386,32.7414,0.0,0.3713,0.0000,0.0000
10982,20/09/2022 00:30:00,33.4072,32.7099,0.0,0.38,0.0000,0.0000
10983,20/09/2022 00:45:00,33.423,32.7172,0.0,0.3855,0.0000,0.0000
10984,20/09/2022 01:00:00,33.4197,32.7212,0.0,0.383,0.0000,0.0000
10985,20/09/2022 01:15:00,33.3759,32.6736,0.0,0.3684,0.0000,0.0000
10986,20/09/2022 01:30:00,33.4167,32.7156,0.0,0.3856,0.0000,0.0000
10987,20/09/2022 01:45:00,33.4334,32.7297,0.0,0.3902,0.0000,0.0000
